@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4,5}
@attribute outputs-7 {0,1,2,3,4,5}
@attribute outputs-8 {0,1,2,3,4,5}
@attribute outputs-9 {0,1,2,3,4,5}
@attribute outputs-10 {0,1,2,3,4,5}

@data
270,'2024/10/09 12:47:44:263',2,19.735773,-15,15,5,0.949771,-0.71,0.71,0.24,-15,13,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
271,'2024/10/09 12:47:44:277',2,19.735773,-15,15,5,0.949771,-0.71,0.71,0.24,-15,13,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
272,'2024/10/09 12:47:44:279',2,19.774675,-15,15,5,0.949771,-0.71,0.71,0.24,-15,13,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
273,'2024/10/09 12:47:44:279',2,19.774675,-15,15,5,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
274,'2024/10/09 12:47:44:279',2,19.774675,-15,14,5,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
275,'2024/10/09 12:47:44:279',2,19.774675,-15,14,5,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
276,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
277,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
278,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.949771,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
279,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.953681,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.62,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
280,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.953681,-0.71,0.71,0.24,-15,13.5,5,-0.71,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
281,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.24,-15,13.5,5,-0.71,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
282,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.24,-15,13.5,5,-0.71,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
283,'2024/10/09 12:47:44:279',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.29,-15,13.5,5,-0.71,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
284,'2024/10/09 12:47:44:345',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.29,-15,13.5,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
285,'2024/10/09 12:47:44:446',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.29,-15,13.5,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
286,'2024/10/09 12:47:44:447',2,19.774675,-15,14,6,0.953681,-0.71,0.67,0.29,-15,13.5,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
287,'2024/10/09 12:47:44:447',2,19.805237,-15,14,6,0.953681,-0.71,0.67,0.29,-15,13.5,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
288,'2024/10/09 12:47:44:447',2,19.805237,-15,14,6,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
289,'2024/10/09 12:47:44:447',2,19.805237,-15,14,6,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
290,'2024/10/09 12:47:44:447',2,19.805237,-15,14,6,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
291,'2024/10/09 12:47:44:447',2,19.805237,-15,14,5,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
292,'2024/10/09 12:47:44:447',2,19.805237,-15,14,5,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
293,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.953681,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
294,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.29,-15,14,5,-0.71,0.645,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
295,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.29,-15,14,5,-0.71,0.67,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
296,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.29,-15,14,5,-0.71,0.67,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
297,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.29,-15,14,5,-0.71,0.67,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
298,'2024/10/09 12:47:44:448',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.24,-15,14,5,-0.71,0.67,0.24,0,1,1,1,?,?,?,?,?,?,?,?,?,?
299,'2024/10/09 12:47:44:545',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.24,-15,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
300,'2024/10/09 12:47:44:665',2,19.805237,-15,14,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
301,'2024/10/09 12:47:44:667',2,19.805237,-14,14,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
302,'2024/10/09 12:47:44:667',2,19.81666,-14,14,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
303,'2024/10/09 12:47:44:667',2,19.81666,-14,14,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
304,'2024/10/09 12:47:44:667',2,19.81666,-14,12,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
305,'2024/10/09 12:47:44:667',2,19.81666,-14,12,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
306,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
307,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
308,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.958251,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
309,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.961898,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
310,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.961898,-0.71,0.67,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
311,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
312,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
313,'2024/10/09 12:47:44:668',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
314,'2024/10/09 12:47:44:765',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14.5,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
315,'2024/10/09 12:47:44:865',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
316,'2024/10/09 12:47:44:866',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
317,'2024/10/09 12:47:44:866',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
318,'2024/10/09 12:47:44:867',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
319,'2024/10/09 12:47:44:867',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
320,'2024/10/09 12:47:44:885',2,19.81666,-14,12,5,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
321,'2024/10/09 12:47:44:886',2,19.81666,-14,12,4,0.961898,-0.71,0.62,0.24,-14,14,5,-0.71,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
322,'2024/10/09 12:47:44:886',2,19.81666,-14,12,4,0.961898,-0.71,0.62,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
323,'2024/10/09 12:47:44:886',2,19.81666,-14,12,4,0.961898,-0.67,0.62,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
324,'2024/10/09 12:47:44:886',2,19.81666,-14,12,4,0.965066,-0.67,0.62,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
325,'2024/10/09 12:47:44:886',2,19.81666,-14,12,4,0.965066,-0.67,0.62,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
326,'2024/10/09 12:47:44:887',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
327,'2024/10/09 12:47:44:887',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.24,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
328,'2024/10/09 12:47:44:887',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.19,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
329,'2024/10/09 12:47:44:985',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.19,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
330,'2024/10/09 12:47:45:085',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.19,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
331,'2024/10/09 12:47:45:086',2,19.81666,-14,12,4,0.965066,-0.67,0.57,0.19,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
332,'2024/10/09 12:47:45:086',2,19.797031,-14,12,4,0.965066,-0.67,0.57,0.19,-14,14,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
333,'2024/10/09 12:47:45:105',2,19.797031,-14,12,4,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
334,'2024/10/09 12:47:45:109',2,19.797031,-14,13,4,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
335,'2024/10/09 12:47:45:111',2,19.797031,-14,13,4,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
336,'2024/10/09 12:47:45:111',2,19.797031,-14,13,5,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.69,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
337,'2024/10/09 12:47:45:111',2,19.797031,-14,13,5,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
338,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.965066,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
339,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.959504,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
340,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.959504,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
341,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
342,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
343,'2024/10/09 12:47:45:112',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.24,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
344,'2024/10/09 12:47:45:205',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.24,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
345,'2024/10/09 12:47:45:305',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.24,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
346,'2024/10/09 12:47:45:306',2,19.797031,-14,13,5,0.959504,-0.67,0.62,0.24,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
347,'2024/10/09 12:47:45:306',2,19.79501,-14,13,5,0.959504,-0.67,0.62,0.24,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
348,'2024/10/09 12:47:45:326',2,19.79501,-14,13,5,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
349,'2024/10/09 12:47:45:327',2,19.79501,-14,14,5,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
350,'2024/10/09 12:47:45:327',2,19.79501,-14,14,5,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
351,'2024/10/09 12:47:45:327',2,19.79501,-14,14,6,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
352,'2024/10/09 12:47:45:327',2,19.79501,-14,14,6,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
353,'2024/10/09 12:47:45:327',2,19.79501,-14,14,6,0.959504,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
354,'2024/10/09 12:47:45:328',2,19.79501,-14,14,6,0.963898,-0.67,0.62,0.24,-14,14,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
355,'2024/10/09 12:47:45:328',2,19.79501,-14,14,6,0.963898,-0.67,0.62,0.24,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
356,'2024/10/09 12:47:45:328',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.24,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
357,'2024/10/09 12:47:45:328',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.24,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
358,'2024/10/09 12:47:45:328',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.29,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
359,'2024/10/09 12:47:45:405',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.29,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
360,'2024/10/09 12:47:45:525',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.29,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
361,'2024/10/09 12:47:45:528',2,19.79501,-14,14,6,0.963898,-0.67,0.67,0.29,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
362,'2024/10/09 12:47:45:528',2,19.838909,-14,14,6,0.963898,-0.67,0.67,0.29,-14,14,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
363,'2024/10/09 12:47:45:529',2,19.838909,-14,14,6,0.963898,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
364,'2024/10/09 12:47:45:529',2,19.838909,-14,12,6,0.963898,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
365,'2024/10/09 12:47:45:529',2,19.838909,-14,12,6,0.963898,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
366,'2024/10/09 12:47:45:529',2,19.838909,-14,12,4,0.963898,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
367,'2024/10/09 12:47:45:529',2,19.838909,-14,12,4,0.963898,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
